Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Investigator,Full-Time (Salaried),Charlottesville,2023-03-31T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/investigator-charlottesville-virginia-united-states,2023-03-06
"Senior Engineer, Structure and Bridge",Full-Time (Salaried),Staunton,2023-03-28T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-engineer-structure-and-bridge-staunton-virginia-united-states,2023-03-06
Maintenance Supervisor,Full-Time (Salaried),Covington,2023-03-20T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-covington-virginia-united-states,2023-03-06
NRO - P1126 - Office & Administrative Support,Full-Time (Salaried),Prince William,2023-03-20T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/nro-p1126-office-administrative-support-prince-william-virginia-united-states,2023-03-06
Maintenance Supervisor – Brosville AHQ,Full-Time (Salaried),Danville,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-brosville-ahq-danville-virginia-united-states,2023-03-06
Amuse General Manager,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/amuse-general-manager-richmond-virginia-united-states,2023-03-06
Inventory IMS Program Supervisor,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/inventory-ims-program-supervisor-richmond-virginia-united-states,2023-03-06
IT Specialist,Full-Time (Salaried),Virginia Beach,NA,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/it-specialist-virginia-beach-virginia-united-states,2023-03-06
Orientation & Mobility Specialist (Sign on Bonus) - #BVI00127,Full-Time (Salaried),Staunton,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/orientation-mobility-specialist-sign-on-bonus-bvi00127-staunton-virginia-united-states,2023-03-06
Office Services Specialist: Human Resources: Fluvanna Correctional Center #00528,Full-Time (Salaried),Fluvanna,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-human-resources-fluvanna-correctional-center-00528-fluvanna-virginia-united-states,2023-03-06
Deputy Economist,Full-Time (Salaried),Richmond,2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/deputy-economist-richmond-virginia-united-states,2023-03-06
Trade Representative,Full-Time (Salaried),"Washington
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Washington
  Accomac
  Albemarle County",2023-03-19T23:55:00Z,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/trade-representative-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-county,2023-03-06
Equipment Repair Supervisor,Full-Time (Salaried),Montgomery County,2023-03-14T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-montgomery-county-virginia-united-states,2023-03-06
Auto Mechanics Instructor - #WWRW0014,Full-Time (Salaried),Augusta County,2023-03-20T23:55:00Z,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/auto-mechanics-instructor-wwrw0014-augusta-county-virginia-united-states,2023-03-06
Junior Systems Analyst,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/junior-systems-analyst-richmond-virginia-united-states,2023-03-06
IT Infrastructure and Operations Manager,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/it-infrastructure-and-operations-manager-richmond-virginia-united-states,2023-03-06
Roadway Design Engineer,Full-Time (Salaried),Salem,2023-03-06T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/roadway-design-engineer-salem-virginia-united-states,2023-03-06
Human Resource Business Partner,Full-Time (Salaried),Richmond,2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/human-resource-business-partner-richmond-virginia-united-states,2023-03-06
Systems Owner and Analyst,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/systems-owner-and-analyst-richmond-virginia-united-states,2023-03-06
Corrections Officer: Greensville Correctional Center,Full-Time (Salaried),Greensville,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-greensville-correctional-center-greensville-virginia-united-states,2023-03-06
Crew Leader,Full-Time (Salaried),"Hampton
  Newport News",2023-03-19T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/crew-leader-hampton-virginia-united-states-newport-news,2023-03-06
Special Education and Student Support Assistant,Full-Time (Salaried),Chesterfield,2023-03-17T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/special-education-and-student-support-assistant-chesterfield-virginia-united-states,2023-03-06
"Support Enforcement Specialist - Central Region, Fredericksburg, W2360",Full-Time (Salaried),Fredericksburg,2023-03-13T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-central-region-fredericksburg-w2360-fredericksburg-virginia-united-states,2023-03-06
Deer Biologist,Full-Time (Salaried),Albemarle County,2023-03-24T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/deer-biologist-albemarle-county-virginia-united-states,2023-03-06
"Agency Management Analyst, #00763",Full-Time (Salaried),Richmond,2023-03-12T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/agency-management-analyst-00763-richmond-virginia-united-states,2023-03-06
Computer Center Lead Engineer - Multi hire (Position No. 00364 and 01944),Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/computer-center-lead-engineer-multi-hire-position-no-00364-and-01944-richmond-virginia-united-states,2023-03-06
Sr. Software Engineer- Position No. 01903,Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/sr-software-engineer-position-no-01903-richmond-virginia-united-states,2023-03-06
Senior Construction Inspector,Full-Time (Salaried),Chesapeake,2023-03-19T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-construction-inspector-chesapeake-virginia-united-states,2023-03-06
Permanency Practice Consultant Sr. #W5124,Full-Time (Salaried),Norfolk,NA,Department of Social Services,https://www.jobs.virginia.gov/jobs/permanency-practice-consultant-sr-w5124-norfolk-virginia-united-states,2023-03-06
Peanut Inspector #01364,Full-Time (Salaried),Suffolk,2023-03-10T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/peanut-inspector-01364-suffolk-virginia-united-states,2023-03-06
Environmental Health Specialist,Full-Time (Salaried),Staunton,NA,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-staunton-virginia-united-states,2023-03-06
Property Tax Director,Full-Time (Salaried),Richmond,2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/property-tax-director-richmond-virginia-united-states,2023-03-06
Program Manager Senior,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/program-manager-senior-richmond-virginia-united-states-2f4fabd4-5959-4324-95ea-3f4dd16d9d5a,2023-03-06
Field Staff Administrative Coordinator - Division of State Parks,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/field-staff-administrative-coordinator-division-of-state-parks-richmond-virginia-united-states,2023-03-06
Cognitive Counselor: P&P District #14 Danville #P1451,Full-Time (Salaried),Danville,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-14-danville-p1451-danville-virginia-united-states,2023-03-06
Land Surveyor Supervisor,Full-Time (Salaried),Fairfax County,2023-03-31T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/land-surveyor-supervisor-fairfax-county-virginia-united-states,2023-03-06
Attorney - Assistant Public Defender I - Danville,Full-Time (Salaried),Danville,2023-03-14T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-danville-danville-virginia-united-states,2023-03-06
Housekeeper Lead,Full-Time (Salaried),"Williamsburg
  York",2023-03-19T23:55:00Z,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/housekeeper-lead-gloucester-virginia-united-states-hampton-henrico-james-city-king-queen-lancaster-mathews-newport-news-norfolk-poquoson-portsmouth-richmond-richmond-county-suffolk-virginia-b,2023-03-06
Medicolegal Death Investigator - Supervisor,Full-Time (Salaried),Manassas,2023-03-20T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/medicolegal-death-investigator-supervisor-manassas-virginia-united-states,2023-03-06
DDS Office Manager - #ARSD1155,Full-Time (Salaried),Henrico,2023-03-17T23:55:00Z,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/dds-office-manager-arsd1155-henrico-virginia-united-states,2023-03-06
Internal Auditor,Full-Time (Salaried),"Outside of State
  Washington
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Radford",2023-03-12T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/internal-auditor-washington-district-of-columbia-united-states-outside-of-state-q-z-radford-virginia-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbridge-county-rockingham-,2023-03-06
Maintenance Operator - Mt. Airy AHQ,Full-Time (Salaried),Pittsylvania,2023-03-24T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-mt-airy-ahq-pittsylvania-virginia-united-states-0dc17f01-ba6e-4395-9a94-b84715bd1295,2023-03-06
Medical Reserve Corp Coordinator #WT056,Full-Time (Salaried),"Franklin
  Isle Of Wight
  Southampton
  Suffolk

            Franklin
  Isle Of Wight
  Southampton",2023-03-20T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/medical-reserve-corp-coordinator-wt056-franklin-virginia-united-states-isle-of-wight-southampton-suffolk,2023-03-06
Admin Policy Coordinator,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/admin-policy-coordinator-richmond-virginia-united-states,2023-03-06
Deputy Revenue Forecaster,Full-Time (Salaried),Richmond,2023-03-12T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/deputy-revenue-forecaster-richmond-virginia-united-states,2023-03-06
Agricultural Outreach Specialist,Full-Time (Salaried),"Harrisonburg
  Winchester",NA,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/agricultural-outreach-specialist-harrisonburg-virginia-united-states-winchester,2023-03-06
Customer Care Specialist,Full-Time (Salaried),Charlottesville,2023-03-20T23:55:00Z,Department of Forestry,https://www.jobs.virginia.gov/jobs/customer-care-specialist-charlottesville-virginia-united-states,2023-03-06
UAT Coordinator,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/uat-coordinator-richmond-virginia-united-states,2023-03-06
Agricultural Outreach Specialist,Full-Time (Salaried),"Fredericksburg
  Richmond County",NA,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/agricultural-outreach-specialist-fredericksburg-virginia-united-states-richmond-county,2023-03-06
"Program Consultant, Sr. #W2085",Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/program-consultant-sr-w2085-richmond-virginia-united-states,2023-03-06
Program Support Technician (Health Services): Sussex I and II Prison Complex,Full-Time (Salaried),Sussex,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-sussex-i-and-ii-prison-complex-sussex-virginia-united-states,2023-03-06
Highway Maintenance Crew Member,Full-Time (Salaried),Madison,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-madison-virginia-united-states,2023-03-06
Environmental Health Tech Specialist,Full-Time (Salaried),"James City
  Newport News
  Poquoson
  Williamsburg
  York

            James City
  Newport News
  Poquoson",2023-03-10T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-tech-specialist-james-city-virginia-united-states-newport-news-poquoson-williamsburg-york,2023-03-06
Contact Center Representative - Hybrid Retirement Plan Counseling Representative (Remote),Full-Time (Salaried),Richmond,2023-04-04T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-hybrid-retirement-plan-counseling-representative-remote-richmond-virginia-united-states,2023-03-06
Living History Interpreter,Full-Time (Salaried),"James City
  Williamsburg
  York",2023-03-26T23:55:00Z,Jamestown-Yorktown Foundation,https://www.jobs.virginia.gov/jobs/living-history-interpreter-james-city-virginia-united-states-williamsburg-york,2023-03-06
Beneficiary Payments Analyst,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/beneficiary-payments-analyst-richmond-virginia-united-states,2023-03-06
"Systems Development Manager, Position No. 00022",Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/systems-development-manager-position-no-00022-richmond-virginia-united-states,2023-03-06
Engineer Land Use,Full-Time (Salaried),Louisa,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-land-use-louisa-virginia-united-states,2023-03-06
"Support Enforcement Specialist, W0484 (Multiple Positions)",Full-Time (Salaried),Norfolk,2023-03-13T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-w0484-multiple-positions-norfolk-virginia-united-states,2023-03-06
Procurement Specialist Senior - CF092,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Forensic Science,https://www.jobs.virginia.gov/jobs/procurement-specialist-senior-cf092-richmond-virginia-united-states,2023-03-06
Ferry Captain Jr,Full-Time (Salaried),Surry,2023-03-12T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/ferry-captain-jr-surry-virginia-united-states,2023-03-06
Environmental Engineer,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",2023-03-26T23:55:00Z,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/environmental-engineer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-coun,2023-03-06
Payroll Supervisor: #00290,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/payroll-supervisor-00290-richmond-virginia-united-states,2023-03-06
Cognitive Counselor (Substance Use Disorder): Wallens Ridge State Prison #01338,Full-Time (Salaried),Wise,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-substance-use-disorder-wallens-ridge-state-prison-01338-wise-virginia-united-states,2023-03-06
IT Auditor Senior: #00575,Full-Time (Salaried),Richmond,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/it-auditor-senior-00575-richmond-virginia-united-states,2023-03-06
Probation Officer,Full-Time (Salaried),Virginia Beach,2023-03-19T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-virginia-beach-virginia-united-states-b2f9d72e-6092-4d72-8f71-fc2e13afc73d,2023-03-06
Procurement Officer III,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/procurement-officer-iii-richmond-virginia-united-states,2023-03-06
Vocational Rehabilitation Counselor - #ARS00003,Full-Time (Salaried),Alexandria,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars00003-alexandria-virginia-united-states,2023-03-06
Corrections Officer: Central Virginia Correctional Unit 13 #13030,Full-Time (Salaried),Chesterfield,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-central-virginia-correctional-unit-13-13030-chesterfield-virginia-united-states,2023-03-06
Office Services Specialist: P&P District #23 Virginia Beach #P2395,Full-Time (Salaried),Virginia Beach,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-p-p-district-23-virginia-beach-p2395-virginia-beach-virginia-united-states,2023-03-06
CO - P1084 - Surface Water Withdrawal Team Lead - VWP,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p1084-surface-water-withdrawal-team-lead-vwp-richmond-virginia-united-states,2023-03-06
Purchase of Prior Service Analyst,Full-Time (Salaried),Richmond,2023-03-12T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-analyst-richmond-virginia-united-states,2023-03-06
Production Foreman: Coffeewood Correctional Center #00222,Full-Time (Salaried),Culpepper,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-foreman-coffeewood-correctional-center-00222-culpepper-virginia-united-states,2023-03-06
Production Foreman: Virginia Correctional Center For Women #00103,Full-Time (Salaried),Goochland,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-foreman-virginia-correctional-center-for-women-00103-goochland-virginia-united-states,2023-03-06
Program Support Technician (Health Services) #00703: Nottoway Correctional Center,Full-Time (Salaried),Nottoway,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-00703-nottoway-correctional-center-nottoway-virginia-united-states,2023-03-06
Casework Counselor (Multiple Positions): Greensville Correctional Center #00965,Full-Time (Salaried),Greensville,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-multiple-positions-greensville-correctional-center-00965-greensville-virginia-united-states,2023-03-06
Office Services Supervisor Sr,Full-Time (Salaried),Virginia Beach,2023-03-19T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-virginia-beach-virginia-united-states-eefb76d4-2725-4c2a-8e15-4bec17a3d47f,2023-03-06
Corrections Captain: Greensville Correctional Center #00515,Full-Time (Salaried),Greensville,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-greensville-correctional-center-00515-greensville-virginia-united-states,2023-03-06
Corrections Captain (ITO Sr): Greensville Correctional Center #00008,Full-Time (Salaried),Greensville,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-ito-sr-greensville-correctional-center-00008-greensville-virginia-united-states,2023-03-06
