Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Administrative Office Specialist,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",2023-04-02T23:55:00Z,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/administrative-office-specialist-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-bote,2023-03-06
Office Services Supervisor Sr.,Full-Time (Salaried),"Brunswick
  Charlotte County
  Emporia
  Halifax
  Lunenburg
  Mecklenburg
  South Boston

            Brunswick
  Charlotte County
  Emporia",2023-03-20T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-brunswick-virginia-united-states-charlotte-county-emporia-halifax-lunenburg-mecklenburg-south-boston,2023-03-06
HR Business Analyst #W2448 - REPOST,Full-Time (Salaried),Richmond,2023-03-06T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-repost-richmond-virginia-united-states,2023-03-06
Right of Way Agent,Full-Time (Salaried),"Fairfax
  Fredericksburg",2023-03-27T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/right-of-way-agent-fairfax-virginia-united-states-fredericksburg,2023-03-06
Forensic Evidence Specialist I - Central Laboratory - CF623,Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-richmond-virginia-united-states,2023-03-06
Farm Manager: State Farm Correctional Center #01581,Full-Time (Salaried),Goochland,2023-03-31T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/farm-manager-state-farm-correctional-center-01581-goochland-virginia-united-states,2023-03-06
Attorney - Assistant Public Defender I - Bedford,Full-Time (Salaried),Bedford County,2023-03-17T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-bedford-bedford-virginia-united-states,2023-03-06
Tractor Trailer Driver: State Farm Correctional Center #01554,Full-Time (Salaried),Goochland,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-state-farm-correctional-center-01554-goochland-virginia-united-states,2023-03-06
Environmental Health Specialist Sr.,Full-Time (Salaried),Petersburg,2023-03-17T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states-674b5c0c-430b-4a20-9493-a58ba0c911ff,2023-03-06
"Highway Maintenance Equipment Operator (Christiansburg Residency)  *$3,000 Sign-On Bonus * may apply",Full-Time (Salaried),"Floyd
  Giles
  Montgomery County
  Pulaski

            Floyd
  Giles
  Montgomery County",NA,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-floyd-virginia-united-states-giles-virginia-montgomery-county-pulaski,2023-03-06
