Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/administrative-office-specialist-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-bote,499716,NA,"$29,772 – $35,000",General Public - G,main location
https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-brunswick-virginia-united-states-charlotte-county-emporia-halifax-lunenburg-mecklenburg-south-boston,499511,NA,"$29,772-$45,000",General Public - G,Mecklenburg County Territory
https://www.jobs.virginia.gov/jobs/right-of-way-agent-fairfax-virginia-united-states-fredericksburg,495401,NA,"$72,000 - $100,000",General Public - G,NOVA District Office
https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-richmond-virginia-united-states,499707,3,"$31,745 - $40,482",General Public - G,Dept of Forensic Science
https://www.jobs.virginia.gov/jobs/farm-manager-state-farm-correctional-center-01581-goochland-virginia-united-states,499366,NA,"$45,486 - $70,958",General Public - G,State Farm Work Center
https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-state-farm-correctional-center-01554-goochland-virginia-united-states,499696,NA,"$43,995 - $55,037",General Public - G,State Farm Work Center
https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states-674b5c0c-430b-4a20-9493-a58ba0c911ff,499651,NA,"$41,475 - $53,478",General Public - G,CRATER HQ
https://www.jobs.virginia.gov/jobs/investigator-charlottesville-virginia-united-states,499653,NA,"$52,757.00 + State Benefits",General Public - G,CHARLOTTESVILLE 320
https://www.jobs.virginia.gov/jobs/nro-p1126-office-administrative-support-prince-william-virginia-united-states,499668,3,"$36,000 - 55,000",General Public - G,Northern Regional Office
https://www.jobs.virginia.gov/jobs/maintenance-supervisor-brosville-ahq-danville-virginia-united-states,499689,NA,"$41,886 - $68,065",General Public - G,Brosville AHQ
https://www.jobs.virginia.gov/jobs/inventory-ims-program-supervisor-richmond-virginia-united-states,499671,NA,"$56,891 - $92,448",General Public - G,Old Hwy. Building
https://www.jobs.virginia.gov/jobs/it-specialist-virginia-beach-virginia-united-states,499673,NA,"$60,000-$70,000",General Public - G,J&C VCC
