Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
HR Business Analyst #W2448,Full-Time (Salaried),Richmond,2023-02-27T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-richmond-virginia-united-states,2023-02-26
Systems Analyst - Entry #W2252,Full-Time (Salaried),Richmond,2023-03-11T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/systems-analyst-entry-w2252-richmond-virginia-united-states,2023-02-26
Institutional Operations Manager: Sussex I & Sussex II State Prison Complex #00803,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/institutional-operations-manager-sussex-i-sussex-ii-state-prison-complex-00803-sussex-virginia-united-states,2023-02-26
Unit Manager: Sussex State Prison Complex #00651,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/unit-manager-sussex-state-prison-complex-00651-sussex-virginia-united-states,2023-02-26
Office Services Specialist (Records): Sussex State Prison Complex #00033,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-records-sussex-state-prison-complex-00033-sussex-virginia-united-states,2023-02-26
Corrections Captain: Sussex I & Sussex II Prison Complex #00530,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-sussex-i-sussex-ii-prison-complex-00530-sussex-virginia-united-states,2023-02-26
Secretary Senior: Sussex State Prison Complex #00138,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/secretary-senior-sussex-state-prison-complex-00138-sussex-virginia-united-states,2023-02-26
Casework Counselor Senior: Sussex State Prison Complex #00529,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-sussex-state-prison-complex-00529-sussex-virginia-united-states,2023-02-26
Inmate Grievance Coordinator: Sussex State Prison Complex #00017,Full-Time (Salaried),Sussex,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-sussex-state-prison-complex-00017-sussex-virginia-united-states,2023-02-26
Web Content Manager,Full-Time (Salaried),Richmond,NA,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/web-content-manager-richmond-virginia-united-states-1190c786-c8da-483e-988b-eb28aaaea08e,2023-02-26
Forest Technician-Capital District,Full-Time (Salaried),New Kent,2023-03-10T23:55:00Z,Department of Forestry,https://www.jobs.virginia.gov/jobs/forest-technician-capital-district-new-kent-virginia-united-states,2023-02-26
AQM - P0729 - Air Quality Monitoring Specialist,Full-Time (Salaried),Henrico,2023-03-06T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/aqm-p0729-air-quality-monitoring-specialist-henrico-virginia-united-states,2023-02-26
Financial Reporting Analyst,Full-Time (Salaried),Richmond,NA,Department of Accounts,https://www.jobs.virginia.gov/jobs/financial-reporting-analyst-richmond-virginia-united-states,2023-02-26
Wildlife Nongame Program Manager,Full-Time (Salaried),Henrico,2023-03-10T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/wildlife-nongame-program-manager-henrico-virginia-united-states,2023-02-26
Senior Real Estate Transaction Manager - DR013,Full-Time (Salaried),Richmond,NA,Department of General Services,https://www.jobs.virginia.gov/jobs/senior-real-estate-transaction-manager-dr013-richmond-virginia-united-states,2023-02-26
Equipment Repair Technician - Franklin Equipment Shop,Full-Time (Salaried),Southampton,2023-02-27T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-franklin-equipment-shop-franklin-virginia-united-states,2023-02-26
