Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/mitigation-specialist-lynchburg-virginia-united-states,499900,NA,"$52,990.00 + State Benefits",General Public - G,LYNCHBURG 318
https://www.jobs.virginia.gov/jobs/carpentry-technician-james-city-virginia-united-states-williamsburg-york,499843,NA,"$40,000-$45,000",General Public - G,Jamestown General
https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-arlington-arlington-virginia-united-states,500205,UG,"negotiable to $65,000",General Public - G,CSU 17 - Arlington
https://www.jobs.virginia.gov/jobs/casework-counselor-fluvanna-correctional-center-for-women-00020-fluvanna-virginia-united-states,495808,NA,"$42,000 - $60,675",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/human-resources-business-partner-north-chesterfield-virginia-united-states,500201,6,Negotiable and Commensurate with Experience,General Public - G,"North Chesterfield, Virginia"
https://www.jobs.virginia.gov/jobs/hr-benefits-specialist-colonial-heights-virginia-united-states-2405914b-c994-4b34-9bb9-2738f318ee7c,500110,4,"$60,500 - $76,500",General Public - G,Richmond District Office
https://www.jobs.virginia.gov/jobs/program-support-technician-north-chesterfield-virginia-united-states,500195,3,Negotiable and Commensurate with Experience,General Public - G,"North Chesterfield, Virginia"
https://www.jobs.virginia.gov/jobs/health-services-project-manager-lead-00710-richmond-virginia-united-states,500198,5,"$60,638 - $115,500",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/employment-analyst-north-chesterfield-virginia-united-states,500194,4,Negotiable and Commensurate with Experience,General Public - G,"North Chesterfield, Virginia"
https://www.jobs.virginia.gov/jobs/deputy-clerk-virginia-beach-virginia-beach-virginia-united-states,500182,UG,"Negotiable up to $35,923.00",General Public - G,Virginia Beach J&DR Court
https://www.jobs.virginia.gov/jobs/housekeeping-worker-evening-shift-richmond-virginia-united-states-0301bdd3-b29a-4fcd-a0a7-af2b84726b65,500120,1,"$28,350-$33,075",General Public - G,General Assembly Bldg
https://www.jobs.virginia.gov/jobs/dispatcher-or-dispatcher-trainee-culpepper-virginia-united-states,500179,3,"Salary is Negotiable and Commensurate with Experience for Dispatchers. Dispatcher Trainees will start at $35,578",General Public - G,"Culpeper, Virginia"
https://www.jobs.virginia.gov/jobs/placement-counselor-ars00435-augusta-county-virginia-united-states,500169,4,"Minimum starting salary at $44,100 commensurate with experience",General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/hope-card-program-coordinator-richmond-virginia-united-states,500175,UG,"$55,000 - $65,000",General Public - G,Supreme Court of Virginia
https://www.jobs.virginia.gov/jobs/magistrate-va-beach-virginia-beach-virginia-united-states,500178,UG,Commensurate with experience,General Public - G,VA Beach Magistrates' Office
https://www.jobs.virginia.gov/jobs/magistrate-norfolk-norfolk-virginia-united-states,500172,UG,Commensurate with experience,General Public - G,Norfolk Magistrates' Office
https://www.jobs.virginia.gov/jobs/magistrate-hampton-hampton-virginia-united-states,500166,UG,Commensurate with experience,General Public - G,Hampton Magistrates' Office
https://www.jobs.virginia.gov/jobs/food-production-worker-b-north-chesterfield-virginia-united-states-fdee457f-4f02-46ac-923d-68026207ddf7,500168,2,Negotiable and Commensurate with Experience,General Public - G,"North Chesterfield, Virginia"
https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-central-virginia-correctional-unit-13-chesterfield-virginia-united-states-richmond,494099,NA,"$55,125 - $77, 175",General Public - G,Central VA Corr Unit 13
https://www.jobs.virginia.gov/jobs/npdes-coordinator-environmental-commitments-inspector-culpepper-virginia-united-states,500112,5,"$67,646 - $109,925",General Public - G,Culpeper District Complex
https://www.jobs.virginia.gov/jobs/rehab-counselor-chesterfield-virginia-united-states,500140,4,"Commensurate up to $52,920",General Public - G,Central Admission&Placement
https://www.jobs.virginia.gov/jobs/scientist-cl323-richmond-virginia-united-states,500058,4,"$55,000 - $68,000",General Public - G,DCLS
https://www.jobs.virginia.gov/jobs/deputy-clerk-prince-george-prince-george-virginia-united-states,500161,UG,"negotiable to $35,923",General Public - G,6th Dist. CSU Prince George
https://www.jobs.virginia.gov/jobs/assistant-division-administrator-external-communications-richmond-virginia-united-states,499785,NA,"$90,778- $147,515",General Public - G,Dept of Transportation
https://www.jobs.virginia.gov/jobs/deputy-clerk-hanover-jdr-hanover-virginia-united-states,500159,UG,"negotiable to $35,923",General Public - G,15th Dist.CSU Hanover County
https://www.jobs.virginia.gov/jobs/managing-director-office-of-international-marketing-00635-richmond-virginia-united-states,499907,6,"Up to $101,500 annually. Excellent State Benefits",General Public - G,VDACS CENTRAL HEADQUARTERS
https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-38-emporia-p3813-emporia-virginia-united-states,500019,NA,"$42,500 - $47,000",General Public - G,Emporia P&P
https://www.jobs.virginia.gov/jobs/office-services-assistant-community-corrections-p-p-district-38-emporia-p3809-emporia-virginia-united-states,500018,NA,"$30,000 - $38,865",General Public - G,Emporia P&P
https://www.jobs.virginia.gov/jobs/food-operations-supervisor-haynesville-correctional-center-00049-richmond-county-virginia-united-states,499959,NA,"$39,900 - $54,317",General Public - G,Haynesville Correctional Ctr
https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-deerfield-correctional-center-00909-southampton-virginia-united-states,499953,NA,"$39,900 - $54,317",General Public - G,Deerfield Correctional Center
https://www.jobs.virginia.gov/jobs/corrections-lieutenant-deerfield-correctional-center-00742-southampton-virginia-united-states,499951,NA,"$51,240 - $89,223",Agency Employee Only - A,Deerfield Correctional Center
https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-deerfield-correctional-center-00234-southampton-virginia-united-states,499936,NA,"$43,890 - $64,909",General Public - G,Deerfield Correctional Center
https://www.jobs.virginia.gov/jobs/environmental-remediation-specialist-construction-01197-richmond-virginia-united-states,500089,5,"$50,811 - $83,329",General Public - G,DOC Headquarters
https://www.jobs.virginia.gov/jobs/corrections-officer-multiple-vacancies-brunswick-men-s-ccap-02018-02023-02034-brunswick-virginia-united-states,500087,3,"$42,000",General Public - G,Brunswick CCAP
https://www.jobs.virginia.gov/jobs/cognitive-counselor-community-corrections-p-p-district-03-portsmouth-p0373-portsmouth-virginia-united-states,499867,NA,"$42,000 - $64,909",General Public - G,Portsmouth P&P
https://www.jobs.virginia.gov/jobs/deputy-clerk-chesapeake-chesapeake-virginia-united-states-670b1159-20ce-4d34-8a32-7d13597eb739,500005,NA,"negotiable to $35,923",General Public - G,Chesapeake General District Ct
https://www.jobs.virginia.gov/jobs/environmental-health-onsite-tech-specialist-goochland-virginia-united-states-hanover-new-kent-b15c89a8-21cf-412e-99c9-b650f5661bb4,499258,NA,"$48,000-$65,500",General Public - G,CHICKAHOMINY HQ
https://www.jobs.virginia.gov/jobs/food-distribution-grants-specialist-01240-richmond-virginia-united-states,499910,5,"Up to $70,000 annually. Excellent State Benefits",General Public - G,VDACS CENTRAL HEADQUARTERS
https://www.jobs.virginia.gov/jobs/regional-employee-ombudsman-eastern-region-01098-southampton-virginia-united-states,499796,NA,"$41,608 - $64,909",General Public - G,Eastern Regional Office
https://www.jobs.virginia.gov/jobs/corrections-sergeant-patrol-canine-sussex-state-prison-complex-00482-sussex-virginia-united-states,499789,NA,"$48,516 - $82,732",Agency Employee Only - A,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/corrections-captain-haynesville-correctional-center-00144-richmond-county-virginia-united-states,499811,NA,"$56,564 - $96,315",Agency Employee Only - A,Haynesville Correctional Ctr
https://www.jobs.virginia.gov/jobs/environmental-engineer-senior-culpepper-virginia-united-states,499462,NA,"$83,349 - $86,546",General Public - G,ENVIRONMENTAL HEALTH-CULPEPPER
https://www.jobs.virginia.gov/jobs/communications-manager-richmond-virginia-united-states-1577545a-9d11-455d-a093-edd1e1d34821,500088,6,"$66,380.00 - $95,000.00",General Public - G,Richmond
https://www.jobs.virginia.gov/jobs/veteran-service-representative-staunton-virginia-united-states,500145,4,"$42,000.00",General Public - G,Staunton Benefits Field Office
https://www.jobs.virginia.gov/jobs/veterans-service-representative-floater-fairfax-virginia-united-states,500144,4,"Up to $55,000",General Public - G,Fairfax Benefits Field Office
https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fairfax-fairfax-county-virginia-united-states-64beeb7e-1902-477b-a8ea-48b9904bd7ed,500147,UG,"negotiable to $65,000",General Public - G,Fairfax Circuit Court
https://www.jobs.virginia.gov/jobs/assistant-attorney-general-iii-major-crimes-emerging-threats-ceasefire-aog00643-norfolk-virginia-united-states,500143,UG,Commensurate with experience,General Public - G,NORFOLK REGIONAL OFFICE
https://www.jobs.virginia.gov/jobs/director-of-v3-programs-richmond-virginia-united-states,499741,NA,$100k-$110k,General Public - G,JAMES MONROE BUILDING
https://www.jobs.virginia.gov/jobs/veteran-peer-specialist-hampton-hampton-virginia-united-states,499093,NA,"$40,000-$50,000",General Public - G,NA
https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-bland-correctional-center-agribusiness-01566-bland-virginia-united-states,499865,NA,"$43,995 - $55,037",General Public - G,Bland Correctional Center
https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-wallen-s-ridge-correctional-center-00212-wise-virginia-united-states,499864,NA,"$43,915 - $71,370",General Public - G,Wallens Ridge State Prison
https://www.jobs.virginia.gov/jobs/farm-manager-bland-correctional-center-agribusiness-01560-bland-virginia-united-states,499863,NA,"$45,486 - $70,958",General Public - G,Bland Correctional Center
https://www.jobs.virginia.gov/jobs/equipment-repair-technician-senior-bland-correctional-center-agribusiness-01557-bland-virginia-united-states,499860,NA,"$40,021 - $62,432",General Public - G,Bland Correctional Center
https://www.jobs.virginia.gov/jobs/office-services-specialist-fluvanna-correctional-center-for-women-00146-fluvanna-virginia-united-states,499658,2,"$31,200 - $41,576",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/corrections-captain-fluvanna-correctional-center-for-women-00546-fluvanna-virginia-united-states,499506,NA,"$59,143 - $96,315",Agency Employee Only - A,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/food-operations-supervisor-fluvanna-correctional-center-for-women-00095-fluvanna-virginia-united-states,499508,NA,"$39,900 - $54,317",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-fluvanna-correctional-center-for-women-charlottesville-virginia-united-states-fluvanna,500105,3,"$29,772 - $46,444",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/business-software-applications-teacher-fluvanna-correctional-center-ed012-fluvanna-virginia-united-states,499997,NA,"$56,011 - $78,551",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/casework-counselor-bland-correctional-center-00328-bland-virginia-united-states,499859,NA,"$42,000 - $60,675",General Public - G,Bland Correctional Center
https://www.jobs.virginia.gov/jobs/practice-consultant-sr-in-home-prevention-w5433-100-remote-virginia-united-states,500101,5,"Up to $75,000/yr.",General Public - G,EASTERN REGIONAL & LICENSING
https://www.jobs.virginia.gov/jobs/operator-maintenance-petersburg-virginia-united-states,500091,2,"$35,489-$57,669",General Public - G,Prince George AHQ
