Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Plumbing Teacher: Greensville Correctional Center #ED006,Full-Time (Salaried),Greensville,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plumbing-teacher-greensville-correctional-center-ed006-greensville-virginia-united-states,2023-03-10
Spanish Language Court Interpreter - Fairfax,Full-Time (Salaried),Fairfax County,NA,Supreme Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fairfax-fairfax-county-virginia-united-states-70fb476a-a062-474e-b9f2-23d477c8c591,2023-03-10
Business Analyst,Full-Time (Salaried),Richmond,2023-03-29T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/business-analyst-richmond-virginia-united-states-99be17af-2438-41d1-b134-efe790e0c23c,2023-03-10
Land Surveyor Supervisor,Full-Time (Salaried),"Amelia
  Colonial Heights",2023-03-21T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/land-surveyor-supervisor-amelia-virginia-united-states-colonial-heights,2023-03-10
Accounts Payable Specialist,Full-Time (Salaried),Suffolk,2023-03-26T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/accounts-payable-specialist-suffolk-virginia-united-states,2023-03-10
Investigator,Full-Time (Salaried),Loudoun County,2023-03-21T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/investigator-loudoun-county-virginia-united-states,2023-03-10
Probation Officer (Sex Offender Specialist): P&P District #31 Chesapeake #P3156,Full-Time (Salaried),Chesapeake,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-sex-offender-specialist-p-p-district-31-chesapeake-p3156-chesapeake-virginia-united-states,2023-03-10
Environmental Health Specialist,Full-Time (Salaried),Winchester,2023-03-31T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-winchester-virginia-united-states,2023-03-10
Office Services Specialist,Full-Time (Salaried),Winchester,2023-03-21T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-winchester-virginia-united-states,2023-03-10
Office Services Specialist,Full-Time (Salaried),Shenandoah,2023-03-21T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-shenandoah-virginia-united-states,2023-03-10
Human Resources Director,Full-Time (Salaried),Richmond,2023-03-16T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/human-resources-director-richmond-virginia-united-states,2023-03-10
Plumber Steamfitter Supervisor: Nottoway Correctional Center #00047,Full-Time (Salaried),Nottoway,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plumber-steamfitter-supervisor-nottoway-correctional-center-00047-nottoway-virginia-united-states,2023-03-10
Special Education Teacher: Nottoway Correctional Center #ED0010,Full-Time (Salaried),Nottoway,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/special-education-teacher-nottoway-correctional-center-ed0010-nottoway-virginia-united-states,2023-03-10
Corrections Lieutenant: Nottoway Correctional Center #00501,Full-Time (Salaried),Nottoway,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-nottoway-correctional-center-00501-nottoway-virginia-united-states,2023-03-10
Assistant Residency Administrator  - Farmville Residency,Full-Time (Salaried),Prince Edward,2023-03-24T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-residency-administrator-farmville-residency-prince-edward-virginia-united-states,2023-03-10
Laundry Manager: Nottoway Correctional Center #00514,Full-Time (Salaried),Nottoway,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/laundry-manager-nottoway-correctional-center-00514-nottoway-virginia-united-states,2023-03-10
Design Build Utilities Specialist,Full-Time (Salaried),Richmond,2023-03-21T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/design-build-utilities-specialist-richmond-virginia-united-states,2023-03-10
Chief Financial Officer,Full-Time (Salaried),Richmond,NA,Dept of Rail & Public Trans,https://www.jobs.virginia.gov/jobs/chief-financial-officer-richmond-virginia-united-states-3dd9f78c-a3e8-4506-841f-5c683ef243ad,2023-03-10
Regional Manager - #BVI00032,Full-Time (Salaried),Roanoke,2023-03-21T23:55:00Z,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/regional-manager-bvi00032-roanoke-virginia-united-states,2023-03-10
Senior Licensing and Discipline Specialist,Full-Time (Salaried),Henrico,2023-03-15T23:55:00Z,Dept of Health Professions,https://www.jobs.virginia.gov/jobs/senior-licensing-and-discipline-specialist-henrico-virginia-united-states,2023-03-10
Senior Human Resources Information Management Analyst,Full-Time (Salaried),Richmond,2023-03-22T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-human-resources-information-management-analyst-richmond-virginia-united-states,2023-03-10
Senior Engineer Technician - Permits,Full-Time (Salaried),Fredericksburg,2023-03-21T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-engineer-technician-permits-fredericksburg-virginia-united-states,2023-03-10
Magistrate - Warren,Full-Time (Salaried),Warren,2023-03-17T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-warren-warren-virginia-united-states,2023-03-10
Magistrate - Rockingham,Full-Time (Salaried),Rockingham,2023-03-17T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-rockingham-rockingham-virginia-united-states,2023-03-10
Corrections Officer: Augusta Correctional Center #00111,Full-Time (Salaried),"Albemarle County
  Alleghany
  Amherst
  Augusta County
  Covington

            Albemarle County
  Alleghany
  Amherst",NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-augusta-correctional-center-00111-albemarle-county-virginia-united-states-alleghany-amherst-augusta-county-covington,2023-03-10
Deputy Clerk - Clarke,Full-Time (Salaried),Clarke,2023-03-17T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-clarke-clarke-virginia-virginia-united-states,2023-03-10
Accountant,Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-7f971c2f-2b0a-451d-ae37-383eff29efb8,2023-03-10
DDS Office Manager - #ARSD1155,Full-Time (Salaried),"Roanoke
  Roanoke County",2023-03-17T23:55:00Z,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/dds-office-manager-arsd1155-henrico-virginia-united-states,2023-03-10
Chief Financial Officer - #ARS00646,Full-Time (Salaried),Henrico,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/chief-financial-officer-ars00646-henrico-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I,Full-Time (Salaried),Hampton,2023-03-10T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-hampton-hampton-virginia-united-states,2023-03-10
Mitigation Specialist,Full-Time (Salaried),Chesterfield,2023-03-10T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-chesterfield-chester-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I,Full-Time (Salaried),Norfolk,2023-03-16T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-norfolk-norfolk-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I/II,Full-Time (Salaried),Pulaski,2023-03-14T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-pulaski-pulaski-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I/II,Full-Time (Salaried),Prince William,2023-03-10T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-prince-william-manassas-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I/II,Full-Time (Salaried),Chesapeake,2023-03-13T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-chesapeake-chesapeake-virginia-united-states,2023-03-10
Mitigation Specialist,Full-Time (Salaried),Danville,2023-03-15T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-danville-danville-virginia-united-states,2023-03-10
Mitigation Specialist,Full-Time (Salaried),Staunton,2023-03-10T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-staunton-staunton-virginia-united-states-62c5003a-7985-4286-bff2-d8edbfb32d9e,2023-03-10
Attorney - Senior Assistant Public Defender,Full-Time (Salaried),Chesterfield,2023-03-31T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-senior-assistant-public-defender-chesterfield-chesterfield-virginia-united-states,2023-03-10
Attorney - Assistant Public Defender I,Full-Time (Salaried),Danville,2023-03-14T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-danville-danville-virginia-united-states,2023-03-10
Senior Trial Attorney,Full-Time (Salaried),Norfolk,2023-03-17T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/senior-trial-attorney-norfolk-norfolk-virginia-united-states,2023-03-10
Senior Assistant Public Defender / Senior Trial Attorney,Full-Time (Salaried),Prince William,2023-03-31T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/senior-assistant-public-defender-senior-trial-attorney-prince-william-manassas-virginia-united-states-a764cc81-8749-47fd-9c77-ad1221052206,2023-03-10
Attorney - Assistant Public Defender I,Full-Time (Salaried),Bedford County,2023-03-17T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-bedford-bedford-virginia-united-states,2023-03-10
Planning Specialist – Lynchburg District,Full-Time (Salaried),Lynchburg,2023-04-07T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/planning-specialist-lynchburg-district-lynchburg-virginia-united-states,2023-03-10
Land Use Engineer,Full-Time (Salaried),Lynchburg,2023-04-07T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/land-use-engineer-lynchburg-virginia-united-states,2023-03-10
Environmental Health Specialist Sr.,Full-Time (Salaried),Culpepper,2023-03-21T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-culpepper-virginia-united-states-74135c03-436a-4732-90c6-3e5a97c5f79e,2023-03-10
Audit Manager,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Office of State Inspector Gen,https://www.jobs.virginia.gov/jobs/audit-manager-richmond-virginia-united-states,2023-03-10
Program Administrator (Enterprise Zone),Full-Time (Salaried),Richmond,2023-03-24T23:55:00Z,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/program-administrator-enterprise-zone-richmond-virginia-united-states,2023-03-10
Compliance Risk Analysts,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/compliance-risk-analysts-richmond-virginia-united-states,2023-03-10
DMV Customer Service Center Work Leader - Norfolk/Widgeon Rd CSC - Pos 00645,Full-Time (Salaried),Norfolk,2023-03-17T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-work-leader-norfolk-widgeon-rd-csc-pos-00645-norfolk-virginia-united-states,2023-03-10
"Licensing Quality Assurance Specialist, Richmond (W0121)",Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/licensing-quality-assurance-specialist-richmond-w0121-richmond-virginia-united-states,2023-03-10
Senior Accounts Payable Specialist (Hybrid Work Schedule),Full-Time (Salaried),Richmond,2023-04-07T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/senior-accounts-payable-specialist-hybrid-work-schedule-richmond-virginia-united-states,2023-03-10
Office Services Supervisor (Community Corrections): P&P District #30 Hampton #P3004,Full-Time (Salaried),Hampton,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-supervisor-community-corrections-p-p-district-30-hampton-p3004-hampton-virginia-united-states,2023-03-10
Administrative Office Specialist,Full-Time (Salaried),"Chesapeake
  Hampton
  Newport News
  Norfolk
  Poquoson
  Portsmouth
  Suffolk
  Surry

            Chesapeake
  Hampton
  Newport News",2023-04-02T23:55:00Z,Marine Resources Commission,https://www.jobs.virginia.gov/jobs/administrative-office-specialist-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-bote,2023-03-10
Office Services Supervisor Sr.,Full-Time (Salaried),"Brunswick
  Charlotte County
  Emporia
  Halifax
  Lunenburg
  Mecklenburg
  South Boston

            Brunswick
  Charlotte County
  Emporia",2023-03-20T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-supervisor-sr-brunswick-virginia-united-states-charlotte-county-emporia-halifax-lunenburg-mecklenburg-south-boston,2023-03-10
Forensic Evidence Specialist I - Central Laboratory - CF623,Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Forensic Science,https://www.jobs.virginia.gov/jobs/forensic-evidence-specialist-i-central-laboratory-cf623-richmond-virginia-united-states,2023-03-10
Farm Manager: State Farm Correctional Center #01581,Full-Time (Salaried),Goochland,2023-03-31T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/farm-manager-state-farm-correctional-center-01581-goochland-virginia-united-states,2023-03-10
Tractor Trailer Driver: State Farm Correctional Center #01554,Full-Time (Salaried),Goochland,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-state-farm-correctional-center-01554-goochland-virginia-united-states,2023-03-10
Environmental Health Specialist Sr.,Full-Time (Salaried),Petersburg,2023-03-17T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-sr-petersburg-virginia-united-states-674b5c0c-430b-4a20-9493-a58ba0c911ff,2023-03-10
Investigator,Full-Time (Salaried),Charlottesville,2023-03-31T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/investigator-charlottesville-virginia-united-states,2023-03-10
NRO - P1126 - Office & Administrative Support,Full-Time (Salaried),Prince William,2023-03-20T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/nro-p1126-office-administrative-support-prince-william-virginia-united-states,2023-03-10
Maintenance Supervisor – Brosville AHQ,Full-Time (Salaried),Danville,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-brosville-ahq-danville-virginia-united-states,2023-03-10
Inventory IMS Program Supervisor,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/inventory-ims-program-supervisor-richmond-virginia-united-states,2023-03-10
IT Specialist,Full-Time (Salaried),Virginia Beach,NA,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/it-specialist-virginia-beach-virginia-united-states,2023-03-10
Orientation & Mobility Specialist (Sign on Bonus) - #BVI00127,Full-Time (Salaried),Staunton,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/orientation-mobility-specialist-sign-on-bonus-bvi00127-staunton-virginia-united-states,2023-03-10
Deputy Economist,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/deputy-economist-richmond-virginia-united-states,2023-03-10
Trade Representative,Full-Time (Salaried),"Washington
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Washington
  Accomac
  Albemarle County",2023-03-19T23:55:00Z,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/trade-representative-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-county,2023-03-10
Equipment Repair Supervisor,Full-Time (Salaried),Montgomery County,2023-03-14T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-montgomery-county-virginia-united-states,2023-03-10
Auto Mechanics Instructor - #WWRW0014,Full-Time (Salaried),Augusta County,2023-03-20T23:55:00Z,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/auto-mechanics-instructor-wwrw0014-augusta-county-virginia-united-states,2023-03-10
Junior Systems Analyst,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/junior-systems-analyst-richmond-virginia-united-states,2023-03-10
IT Infrastructure and Operations Manager,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/it-infrastructure-and-operations-manager-richmond-virginia-united-states,2023-03-10
Human Resource Business Partner,Full-Time (Salaried),Richmond,2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/human-resource-business-partner-richmond-virginia-united-states,2023-03-10
Crew Leader,Full-Time (Salaried),"Hampton
  Newport News",2023-03-19T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/crew-leader-hampton-virginia-united-states-newport-news,2023-03-10
Special Education and Student Support Assistant,Full-Time (Salaried),Chesterfield,2023-03-17T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/special-education-and-student-support-assistant-chesterfield-virginia-united-states,2023-03-10
Computer Center Lead Engineer - Multi hire (Position No. 00364 and 01944),Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/computer-center-lead-engineer-multi-hire-position-no-00364-and-01944-richmond-virginia-united-states,2023-03-10
Sr. Software Engineer- Position No. 01903,Full-Time (Salaried),Richmond,2023-03-13T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/sr-software-engineer-position-no-01903-richmond-virginia-united-states,2023-03-10
Senior Construction Inspector,Full-Time (Salaried),Chesapeake,2023-03-19T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-construction-inspector-chesapeake-virginia-united-states,2023-03-10
Permanency Practice Consultant Sr. #W5124,Full-Time (Salaried),Norfolk,NA,Department of Social Services,https://www.jobs.virginia.gov/jobs/permanency-practice-consultant-sr-w5124-norfolk-virginia-united-states,2023-03-10
Peanut Inspector #01364,Full-Time (Salaried),Suffolk,2023-03-10T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/peanut-inspector-01364-suffolk-virginia-united-states,2023-03-10
Property Tax Director,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County
  Charlotte Court House
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Frederick County
  Fredericksburg
  Galax
  Giles
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Prince Georges",2023-03-19T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/property-tax-director-richmond-virginia-united-states,2023-03-10
Program Manager Senior,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/program-manager-senior-richmond-virginia-united-states-2f4fabd4-5959-4324-95ea-3f4dd16d9d5a,2023-03-10
Field Staff Administrative Coordinator - Division of State Parks,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/field-staff-administrative-coordinator-division-of-state-parks-richmond-virginia-united-states,2023-03-10
Cognitive Counselor: P&P District #14 Danville #P1451,Full-Time (Salaried),Danville,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-14-danville-p1451-danville-virginia-united-states,2023-03-10
Medicolegal Death Investigator - Supervisor,Full-Time (Salaried),Manassas,2023-03-20T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/medicolegal-death-investigator-supervisor-manassas-virginia-united-states,2023-03-10
Internal Auditor,Full-Time (Salaried),"Outside of State
  Washington
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise
  Wythe
  York

            Outside of State
  Washington
  Radford",2023-03-12T23:55:00Z,Department of Taxation,https://www.jobs.virginia.gov/jobs/internal-auditor-washington-district-of-columbia-united-states-outside-of-state-q-z-radford-virginia-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbridge-county-rockingham-,2023-03-10
Maintenance Supervisor,Full-Time (Salaried),Covington,2023-03-20T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-covington-virginia-united-states,2023-03-10
Engineer Structure and Bridge Inspection Moveable,Full-Time (Salaried),"Chesapeake
  Hampton
  Newport News
  Norfolk
  Portsmouth
  Suffolk
  Virginia Beach
  Williamsburg

            Chesapeake
  Hampton
  Newport News",2023-03-26T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-structure-and-bridge-inspection-moveable-suffolk-virginia-united-states-chesapeake-hampton-newport-news-norfolk-portsmouth-virginia-beach-williamsburg,2023-03-10
Corrections Officer: Greensville Correctional Center,Full-Time (Salaried),Greensville,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-greensville-correctional-center-greensville-virginia-united-states,2023-03-10
Technology Specialist-ERP and Reporting - #BVI00067,Full-Time (Salaried),Henrico,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/technology-specialist-erp-and-reporting-bvi00067-henrico-virginia-united-states,2023-03-10
Environmental Health Tech Specialist,Full-Time (Salaried),"James City
  Newport News
  Poquoson
  Williamsburg
  York

            James City
  Newport News
  Poquoson",2023-03-17T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-tech-specialist-james-city-virginia-united-states-newport-news-poquoson-williamsburg-york,2023-03-10
