Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Bridge Maintenance Crew Member Caroline & Middlesex,Full-Time (Salaried),Caroline,2023-03-24T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/bridge-maintenance-crew-member-caroline-middlesex-caroline-virginia-united-states,2023-03-10
Deputy Clerk - Hanover JDR,Full-Time (Salaried),Hanover,NA,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-hanover-jdr-hanover-virginia-united-states,2023-03-10
General Accounting and Reporting Manager (Hybrid),Full-Time (Salaried),Richmond,2023-04-03T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/general-accounting-and-reporting-manager-hybrid-richmond-virginia-united-states,2023-03-10
"Managing Director, Office of International Marketing  #00635",Full-Time (Salaried),Richmond,2023-03-31T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/managing-director-office-of-international-marketing-00635-richmond-virginia-united-states,2023-03-10
Probation Officer: P&P District #38 Emporia #P3813,Full-Time (Salaried),Emporia,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-38-emporia-p3813-emporia-virginia-united-states,2023-03-10
Office Services Assistant (Community Corrections): P&P District 38/Emporia #P3809,Full-Time (Salaried),Emporia,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-community-corrections-p-p-district-38-emporia-p3809-emporia-virginia-united-states,2023-03-10
Food Operations Supervisor: Haynesville Correctional Center #00049,Full-Time (Salaried),Richmond County,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-haynesville-correctional-center-00049-richmond-county-virginia-united-states,2023-03-10
Food Operations Supervisor (Multiple Vacancies): Deerfield Correctional Center #00909,Full-Time (Salaried),Southampton,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-deerfield-correctional-center-00909-southampton-virginia-united-states,2023-03-10
Corrections Lieutenant: Deerfield Correctional Center #00742,Full-Time (Salaried),Southampton,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-deerfield-correctional-center-00742-southampton-virginia-united-states,2023-03-10
Food Operations Assistant Director:  Deerfield Correctional Center #00234,Full-Time (Salaried),Southampton,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-deerfield-correctional-center-00234-southampton-virginia-united-states,2023-03-10
Environmental Remediation Specialist (Construction) - #01197,Full-Time (Salaried),Richmond,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/environmental-remediation-specialist-construction-01197-richmond-virginia-united-states,2023-03-10
"Corrections Officer (Multiple Vacancies): Brunswick Men's CCAP - #02018, #02023, #02034",Full-Time (Salaried),Brunswick,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-multiple-vacancies-brunswick-men-s-ccap-02018-02023-02034-brunswick-virginia-united-states,2023-03-10
Cognitive Counselor (Community Corrections): P&P District #03 Portsmouth #P0373,Full-Time (Salaried),Portsmouth,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/cognitive-counselor-community-corrections-p-p-district-03-portsmouth-p0373-portsmouth-virginia-united-states,2023-03-10
Deputy Clerk - Chesapeake,Full-Time (Salaried),Chesapeake,2023-03-24T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-chesapeake-chesapeake-virginia-united-states-670b1159-20ce-4d34-8a32-7d13597eb739,2023-03-10
Environmental Health Onsite Tech Specialist,Full-Time (Salaried),"Goochland
  Hanover
  New Kent",2023-03-24T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-onsite-tech-specialist-goochland-virginia-united-states-hanover-new-kent-b15c89a8-21cf-412e-99c9-b650f5661bb4,2023-03-10
Food Distribution Grants Specialist #01240,Full-Time (Salaried),Richmond,2023-03-24T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/food-distribution-grants-specialist-01240-richmond-virginia-united-states,2023-03-10
Regional Employee Ombudsman (Eastern Region): #01098,Full-Time (Salaried),Southampton,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/regional-employee-ombudsman-eastern-region-01098-southampton-virginia-united-states,2023-03-10
Corrections Sergeant (Patrol Canine): Sussex State Prison Complex #00482,Full-Time (Salaried),Sussex,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-patrol-canine-sussex-state-prison-complex-00482-sussex-virginia-united-states,2023-03-10
Corrections Captain: Haynesville Correctional Center #00144,Full-Time (Salaried),Richmond County,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-haynesville-correctional-center-00144-richmond-county-virginia-united-states,2023-03-10
Environmental Engineer Senior,Full-Time (Salaried),Culpepper,2023-03-24T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-engineer-senior-culpepper-virginia-united-states,2023-03-10
Communications Manager,Full-Time (Salaried),Richmond,2023-03-23T23:55:00Z,Office of State Inspector Gen,https://www.jobs.virginia.gov/jobs/communications-manager-richmond-virginia-united-states-1577545a-9d11-455d-a093-edd1e1d34821,2023-03-10
Application Developer,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/application-developer-richmond-virginia-united-states-f0d07cb6-13fe-43cf-a42a-1317ab1f457e,2023-03-10
Veteran Service Representative,Full-Time (Salaried),Staunton,2023-03-24T23:55:00Z,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/veteran-service-representative-staunton-virginia-united-states,2023-03-10
Veterans Service Representative/Floater,Full-Time (Salaried),Fairfax,2023-03-24T23:55:00Z,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/veterans-service-representative-floater-fairfax-virginia-united-states,2023-03-10
Spanish Language Court Interpreter - Fairfax,Full-Time (Salaried),Fairfax County,NA,Supreme Court,https://www.jobs.virginia.gov/jobs/spanish-language-court-interpreter-fairfax-fairfax-county-virginia-united-states-64beeb7e-1902-477b-a8ea-48b9904bd7ed,2023-03-10
"Assistant Attorney General III, Major Crimes & Emerging Threats/Ceasefire (AOG00643)",Full-Time (Salaried),Norfolk,NA,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/assistant-attorney-general-iii-major-crimes-emerging-threats-ceasefire-aog00643-norfolk-virginia-united-states,2023-03-10
Director of V3 Programs,Full-Time (Salaried),Richmond,2023-03-24T23:55:00Z,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/director-of-v3-programs-richmond-virginia-united-states,2023-03-10
Veteran Peer Specialist -Hampton,Full-Time (Salaried),Hampton,NA,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/veteran-peer-specialist-hampton-hampton-virginia-united-states,2023-03-10
Tractor Trailer Driver: Bland Correctional Center Agribusiness #01566,Full-Time (Salaried),Bland,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/tractor-trailer-driver-bland-correctional-center-agribusiness-01566-bland-virginia-united-states,2023-03-10
Corrections Officer (Patrol Canine): Wallen's Ridge Correctional Center #00212,Full-Time (Salaried),Wise,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-patrol-canine-wallen-s-ridge-correctional-center-00212-wise-virginia-united-states,2023-03-10
Farm Manager: Bland Correctional Center Agribusiness #01560,Full-Time (Salaried),Bland,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/farm-manager-bland-correctional-center-agribusiness-01560-bland-virginia-united-states,2023-03-10
Equipment Repair Technician Senior: Bland Correctional Center Agribusiness #01557,Full-Time (Salaried),Bland,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-senior-bland-correctional-center-agribusiness-01557-bland-virginia-united-states,2023-03-10
Office Services Specialist: Fluvanna Correctional Center for Women #00146,Full-Time (Salaried),Fluvanna,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-fluvanna-correctional-center-for-women-00146-fluvanna-virginia-united-states,2023-03-10
Corrections Captain: Fluvanna Correctional Center for Women #00546,Full-Time (Salaried),Fluvanna,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-fluvanna-correctional-center-for-women-00546-fluvanna-virginia-united-states,2023-03-10
Food Operations Supervisor:  Fluvanna Correctional Center for Women #00095,Full-Time (Salaried),Fluvanna,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-fluvanna-correctional-center-for-women-00095-fluvanna-virginia-united-states,2023-03-10
Program Support Technician ( Health Services) - Fluvanna Correctional Center for Women,Full-Time (Salaried),"Charlottesville
  Fluvanna",NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-fluvanna-correctional-center-for-women-charlottesville-virginia-united-states-fluvanna,2023-03-10
Business Software Applications Teacher: Fluvanna Correctional Center #ED012,Full-Time (Salaried),Fluvanna,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/business-software-applications-teacher-fluvanna-correctional-center-ed012-fluvanna-virginia-united-states,2023-03-10
Casework Counselor: Bland Correctional Center #00328,Full-Time (Salaried),Bland,2023-03-24T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-bland-correctional-center-00328-bland-virginia-united-states,2023-03-10
Practice Consultant Sr. (In Home & Prevention) #W5433 (100% REMOTE),Full-Time (Salaried),,NA,Department of Social Services,https://www.jobs.virginia.gov/jobs/practice-consultant-sr-in-home-prevention-w5433-100-remote-virginia-united-states,2023-03-10
Operator Maintenance,Full-Time (Salaried),Petersburg,2023-03-23T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/operator-maintenance-petersburg-virginia-united-states,2023-03-10
Lead Child Nutrition Program Regional Specialist,Full-Time (Salaried),Richmond,2023-03-30T23:55:00Z,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/lead-child-nutrition-program-regional-specialist-richmond-virginia-united-states,2023-03-10
Exhibit Fabrication Manager,Full-Time (Salaried),Richmond,NA,The Science Museum of Virginia,https://www.jobs.virginia.gov/jobs/exhibit-fabrication-manager-richmond-virginia-united-states,2023-03-10
Talent Acquisition Consultant,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/talent-acquisition-consultant-richmond-virginia-united-states,2023-03-10
Talent Acquisition Manager,Full-Time (Salaried),Richmond,2023-03-20T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/talent-acquisition-manager-richmond-virginia-united-states,2023-03-10
Senior Trial Attorney,Full-Time (Salaried),Hampton,2023-04-06T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/senior-trial-attorney-hampton-virginia-united-states,2023-03-10
Manager of External Affairs,Full-Time (Salaried),Richmond,2023-03-16T23:55:00Z,Dept of Rail & Public Trans,https://www.jobs.virginia.gov/jobs/manager-of-external-affairs-richmond-virginia-united-states,2023-03-10
Retirement Benefits Disbursement Analyst,Full-Time (Salaried),Richmond,2023-03-22T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/retirement-benefits-disbursement-analyst-richmond-virginia-united-states,2023-03-10
Communications Coordinator,Full-Time (Salaried),Richmond,2023-03-29T23:55:00Z,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/communications-coordinator-richmond-virginia-united-states-730a53d0-d681-43aa-9a4d-6a5ddada9960,2023-03-10
Program Support Technician: Logistics and Accreditation,Full-Time (Salaried),Richmond,2023-03-15T23:55:00Z,Department of Fire Programs,https://www.jobs.virginia.gov/jobs/program-support-technician-logistics-and-accreditation-richmond-virginia-united-states,2023-03-10
Financial Reporting Project Lead,Full-Time (Salaried),Richmond,2023-03-21T23:55:00Z,Department of Accounts,https://www.jobs.virginia.gov/jobs/financial-reporting-project-lead-richmond-virginia-united-states,2023-03-10
Disability Analyst (Trainee - Level 1) - #ARSD0522,Full-Time (Salaried),"Fairfax
  Henrico
  Norfolk
  Richmond
  Roanoke

            Fairfax
  Henrico
  Norfolk",NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/disability-analyst-trainee-level-1-arsd0522-fairfax-virginia-united-states-henrico-norfolk-richmond-roanoke,2023-03-10
SNP Administrative Assistant,Full-Time (Salaried),Richmond,2023-03-23T23:55:00Z,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/snp-administrative-assistant-richmond-virginia-united-states,2023-03-10
"Coordinator, Specially Designed Instruction",Full-Time (Salaried),Richmond,NA,Dept of Ed Central Operations,https://www.jobs.virginia.gov/jobs/coordinator-specially-designed-instruction-richmond-virginia-united-states,2023-03-10
Retirement Payroll Technician,Full-Time (Salaried),Richmond,2023-03-22T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/retirement-payroll-technician-richmond-virginia-united-states,2023-03-10
Placement Counselor - #ARS01132,Full-Time (Salaried),Charlottesville,2023-03-22T23:55:00Z,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/placement-counselor-ars01132-charlottesville-virginia-united-states,2023-03-10
Certified Nurse Aide (CNA),Full-Time (Salaried),Richmond,NA,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/certified-nurse-aide-cna-richmond-virginia-united-states,2023-03-10
Purchase of Prior Service Analyst,Full-Time (Salaried),Richmond,2023-03-16T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/purchase-of-prior-service-analyst-richmond-virginia-united-states,2023-03-10
Intergovernmental Specialist #W0917,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/intergovernmental-specialist-w0917-richmond-virginia-united-states,2023-03-10
Financial Response & Non IV-D Supervisor #W1975,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/financial-response-non-iv-d-supervisor-w1975-richmond-virginia-united-states,2023-03-10
Management Analyst Senior #W4310,Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/management-analyst-senior-w4310-richmond-virginia-united-states,2023-03-10
Corrections Captain: Sussex I & Sussex II Prison Complex #00530,Full-Time (Salaried),Sussex,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-captain-sussex-i-sussex-ii-prison-complex-00530-sussex-virginia-united-states,2023-03-10
Casework Counselor Senior: Sussex State Prison Complex #00529,Full-Time (Salaried),Sussex,2023-03-17T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-sussex-state-prison-complex-00529-sussex-virginia-united-states,2023-03-10
Roadway Design Engineer,Full-Time (Salaried),Culpepper,2023-03-31T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/roadway-design-engineer-culpepper-virginia-united-states,2023-03-10
Contact Center Representative - Hybrid Retirement Plan Counseling Representative (Remote),Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-hybrid-retirement-plan-counseling-representative-remote-richmond-virginia-united-states,2023-03-10
Contact Center Representative - Employer Support (Remote),Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/contact-center-representative-employer-support-remote-richmond-virginia-united-states,2023-03-10
Deputy Clerk - Williamsburg,Full-Time (Salaried),Williamsburg,2023-03-17T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-williamsburg-williamsburg-virginia-united-states,2023-03-10
Human Services Program Coordinator,Full-Time (Salaried),Richmond,2023-03-15T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/human-services-program-coordinator-richmond-virginia-united-states-dd088b3d-3159-4e58-9582-c2819abf51d7,2023-03-10
Public Health Nurse Sr.,Full-Time (Salaried),Prince George,2023-03-31T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-prince-george-virginia-united-states,2023-03-10
Human Resource Benefits Analyst,Full-Time (Salaried),Henrico,2023-03-13T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/human-resource-benefits-analyst-henrico-virginia-united-states,2023-03-10
Public Health Nurse Supervisor,Full-Time (Salaried),Richmond,2023-03-15T16:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states-37ec382e-0b26-4333-993f-8b5d48956df4,2023-03-10
Public Health Nurse Sr.,Full-Time (Salaried),Greensville,2023-03-31T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-greensville-virginia-united-states,2023-03-10
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,2023-03-31T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states-ddfc5e30-6e7d-4e71-bba9-08787ae61257,2023-03-10
Resource Specialist -South Hill,Full-Time (Salaried),Mecklenburg,NA,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states,2023-03-10
Employment Services Spec Sr - #ARS00924,Full-Time (Salaried),Culpepper,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-spec-sr-ars00924-culpepper-virginia-united-states,2023-03-10
"Vocational Rehabilitation Counselor / Trainee (Sign-On Bonus) - #ARS00752, ARS00034",Full-Time (Salaried),Roanoke County,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-trainee-ars00752-ars00034-roanoke-county-virginia-united-states,2023-03-10
Public Health Nurse Sr.,Full-Time (Salaried),Petersburg,2023-03-31T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-sr-petersburg-virginia-united-states,2023-03-10
