Title,EmploymentType,Location,Closingdate,Agency,Link,ClosingDate2
Sr. IT Auditor - Internal,Full-Time (Salaried),Richmond,Mar 7 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states,2023-03-07T23:55:00Z
Assistant District Bridge Design Engineer,Full-Time (Salaried),Staunton,Mar 8 2023 at 00:00 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states,2023-03-08T00:00:00Z
Federal Aid and Grants Manager,Full-Time (Salaried),Henrico,Mar 10 2023 at 23:55 EST,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states,2023-03-10T23:55:00Z
Environmental Health Specialist,Full-Time (Salaried),"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",Mar 1 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-45d9fc56-e996-4061-a2d7-a5168a120c8f,2023-03-01T23:55:00Z
Environmental Health Specialist,Full-Time (Salaried),"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",Mar 1 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-westmoreland,2023-03-01T23:55:00Z
DPB Associate Director,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Planning and Budget,https://www.jobs.virginia.gov/jobs/dpb-associate-director-richmond-virginia-united-states,2023-03-06T23:55:00Z
Probation Officer,Full-Time (Salaried),Alexandria,Mar 8 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states,2023-03-08T23:55:00Z
Communications Technician,Full-Time (Salaried),North Chesterfield,Feb 27 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathe-9bde3ef7-96c1-4bf3-90ec-7b0205420ee2,2023-02-27T23:55:00Z
"Senior Bridge Engineer, Safety Inspection – Lynchburg District",Full-Time (Salaried),Lynchburg,Mar 31 2023 at 23:55 EDT,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states,2023-03-31T23:55:00Z
Maintenance Operator - NOVA Maintenance Specialty Crew - Fairfax,Full-Time (Salaried),Fairfax County,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states,2023-03-08T23:55:00Z
Accountant,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a,2023-03-08T23:55:00Z
Highway Maintenance Supervisor,Full-Time (Salaried),Albemarle County,Mar 8 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states,2023-03-08T23:55:00Z
Environmental Health Specialist I,Full-Time (Salaried),Fredericksburg,Mar 3 2023 at 23:55 EST,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-i-fredericksburg-virginia-united-states,2023-03-03T23:55:00Z
DMV Customer Service Center Assistant Manager,Full-Time (Salaried),Williamsburg,Mar 7 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states,2023-03-07T23:55:00Z
Project Specialist Senior -Project Manager Location and Design,Full-Time (Salaried),Salem,Mar 7 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states,2023-03-07T23:55:00Z
"Investigator, Tobacco Enforcement Section (OAG00422)- Northern Virginia",Full-Time (Salaried),Fairfax,,Attorney General & Dept of Law,https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states,NA
Director of Community Engagement (Marketing & Admissions),Full-Time (Salaried),Roanoke,Mar 10 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states,2023-03-10T23:55:00Z
Receiver/Delivery Driver - Ft. Belvoir VIB Base Supply Store - #BVIIS175,Full-Time (Salaried),Fairfax County,,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states,NA
Resource Specialist -South Hill,Full-Time (Salaried),Mecklenburg,Mar 7 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states,2023-03-07T23:55:00Z
Executive Secretary: Buckingham Correctional Center #00004,Full-Time (Salaried),Buckingham,Mar 10 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states,2023-03-10T23:55:00Z
Talent Acquisition Specialist,Full-Time (Salaried),Suffolk,Mar 5 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/talent-acquisition-specialist-suffolk-virginia-united-states,2023-03-05T23:55:00Z
Highway Maintenance Crew Member,Full-Time (Salaried),Louisa,Mar 7 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states,2023-03-07T23:55:00Z
Area Forester-Southern Rivers District,Full-Time (Salaried),Halifax,Mar 8 2023 at 23:55 EST,Department of Forestry,https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states,2023-03-08T23:55:00Z
Office Services Specialist,Full-Time (Salaried),Chesterfield,Mar 6 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-chesterfield-virginia-united-states,2023-03-06T23:55:00Z
Buyer Specialist,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/buyer-specialist-richmond-virginia-united-states,2023-03-02T23:55:00Z
